orig_image,mask_image
images\revert_vertical_revert_vertical_OFT_control_03$000141&03_@004160.bmp,masks\revert_vertical_revert_vertical_OFT_control_03$000141&03_@004160.bmp
images\revert_vertical_revert_vertical_OFT_control_04$000176&03_@000291.bmp,masks\revert_vertical_revert_vertical_OFT_control_04$000176&03_@000291.bmp
images\revert_vertical_revert_vertical_OFT_control_04$000176&03_@000569.bmp,masks\revert_vertical_revert_vertical_OFT_control_04$000176&03_@000569.bmp
images\revert_vertical_revert_vertical_OFT_control_04$000176&03_@000962.bmp,masks\revert_vertical_revert_vertical_OFT_control_04$000176&03_@000962.bmp
images\revert_vertical_revert_vertical_OFT_control_04$000176&03_@001274.bmp,masks\revert_vertical_revert_vertical_OFT_control_04$000176&03_@001274.bmp
images\revert_vertical_revert_vertical_OFT_control_04$000176&03_@001318.bmp,masks\revert_vertical_revert_vertical_OFT_control_04$000176&03_@001318.bmp
images\revert_vertical_revert_vertical_OFT_control_04$000176&03_@001638.bmp,masks\revert_vertical_revert_vertical_OFT_control_04$000176&03_@001638.bmp
images\revert_vertical_revert_vertical_OFT_control_04$000176&03_@001726.bmp,masks\revert_vertical_revert_vertical_OFT_control_04$000176&03_@001726.bmp
images\revert_vertical_revert_vertical_OFT_control_04$000176&03_@001827.bmp,masks\revert_vertical_revert_vertical_OFT_control_04$000176&03_@001827.bmp
images\revert_vertical_revert_vertical_OFT_control_04$000176&03_@001948.bmp,masks\revert_vertical_revert_vertical_OFT_control_04$000176&03_@001948.bmp
images\revert_vertical_revert_vertical_OFT_control_04$000176&03_@002017.bmp,masks\revert_vertical_revert_vertical_OFT_control_04$000176&03_@002017.bmp
images\revert_vertical_revert_vertical_OFT_control_04$000176&03_@002156.bmp,masks\revert_vertical_revert_vertical_OFT_control_04$000176&03_@002156.bmp
images\revert_vertical_revert_vertical_OFT_control_04$000176&03_@002952.bmp,masks\revert_vertical_revert_vertical_OFT_control_04$000176&03_@002952.bmp
images\revert_vertical_revert_vertical_OFT_control_04$000176&03_@003350.bmp,masks\revert_vertical_revert_vertical_OFT_control_04$000176&03_@003350.bmp
images\revert_vertical_revert_vertical_OFT_control_04$000176&03_@004132.bmp,masks\revert_vertical_revert_vertical_OFT_control_04$000176&03_@004132.bmp
images\revert_vertical_revert_vertical_OFT_control_05$000124&03_@000222.bmp,masks\revert_vertical_revert_vertical_OFT_control_05$000124&03_@000222.bmp
images\revert_vertical_revert_vertical_OFT_control_05$000124&03_@000462.bmp,masks\revert_vertical_revert_vertical_OFT_control_05$000124&03_@000462.bmp
images\revert_vertical_revert_vertical_OFT_control_05$000124&03_@000601.bmp,masks\revert_vertical_revert_vertical_OFT_control_05$000124&03_@000601.bmp
images\revert_vertical_revert_vertical_OFT_control_05$000124&03_@000740.bmp,masks\revert_vertical_revert_vertical_OFT_control_05$000124&03_@000740.bmp
images\revert_vertical_revert_vertical_OFT_control_05$000124&03_@000856.bmp,masks\revert_vertical_revert_vertical_OFT_control_05$000124&03_@000856.bmp
images\revert_vertical_revert_vertical_OFT_control_05$000124&03_@001249.bmp,masks\revert_vertical_revert_vertical_OFT_control_05$000124&03_@001249.bmp
images\revert_vertical_revert_vertical_OFT_control_05$000124&03_@001420.bmp,masks\revert_vertical_revert_vertical_OFT_control_05$000124&03_@001420.bmp
images\revert_vertical_revert_vertical_OFT_control_05$000124&03_@001943.bmp,masks\revert_vertical_revert_vertical_OFT_control_05$000124&03_@001943.bmp
images\revert_vertical_revert_vertical_OFT_control_05$000124&03_@002124.bmp,masks\revert_vertical_revert_vertical_OFT_control_05$000124&03_@002124.bmp
images\revert_vertical_revert_vertical_OFT_control_05$000124&03_@002406.bmp,masks\revert_vertical_revert_vertical_OFT_control_05$000124&03_@002406.bmp
images\revert_vertical_revert_vertical_OFT_control_05$000124&03_@002804.bmp,masks\revert_vertical_revert_vertical_OFT_control_05$000124&03_@002804.bmp
images\revert_vertical_revert_vertical_OFT_control_05$000124&03_@003146.bmp,masks\revert_vertical_revert_vertical_OFT_control_05$000124&03_@003146.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@000013.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@000013.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@000129.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@000129.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@000305.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@000305.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@000365.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@000365.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@000481.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@000481.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@000578.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@000578.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@000786.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@000786.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@001018.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@001018.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@001184.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@001184.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@001249.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@001249.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@001429.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@001429.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@001596.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@001596.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@001661.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@001661.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@001734.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@001734.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@001790.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@001790.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@002008.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@002008.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@002276.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@002276.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@002461.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@002461.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@002910.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@002910.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@003257.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@003257.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@003466.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@003466.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@003641.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@003641.bmp
images\revert_vertical_revert_vertical_OFT_control_06$000126&03_@003850.bmp,masks\revert_vertical_revert_vertical_OFT_control_06$000126&03_@003850.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@000031.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@000031.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@000185.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@000185.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@000333.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@000333.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@000467.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@000467.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@000638.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@000638.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@000920.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@000920.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@001212.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@001212.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@001323.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@001323.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@001476.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@001476.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@001684.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@001684.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@001800.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@001800.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@002017.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@002017.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@002179.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@002179.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@002313.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@002313.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@002614.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@002614.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@002836.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@002836.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@003031.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@003031.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@003234.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@003234.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@003387.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@003387.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@003498.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@003498.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@003697.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@003697.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@003868.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@003868.bmp
images\revert_vertical_revert_vertical_OFT_control_08$000141&03_@004331.bmp,masks\revert_vertical_revert_vertical_OFT_control_08$000141&03_@004331.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000030.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000030.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000058.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000058.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000074.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000074.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000106.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000106.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000175.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000175.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000180.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000180.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000203.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000203.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000254.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000254.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000257.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000257.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000397.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000397.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000448.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000448.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000916.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000916.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000971.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@000971.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001013.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001013.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001031.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001031.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001105.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001105.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001166.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001166.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001226.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001226.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001267.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001267.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001615.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001615.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001772.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001772.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001883.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001883.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001966.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@001966.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@002050.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@002050.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@002133.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact$000090&03_@002133.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@000185.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@000185.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@000265.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@000265.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@000370.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@000370.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@000446.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@000446.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@000872.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@000872.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@000887.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@000887.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@000922.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@000922.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@001087.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@001087.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@001158.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@001158.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@001178.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@001178.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@001313.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@001313.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@001323.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@001323.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@001473.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@001473.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@001504.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@001504.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@001554.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@001554.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@001564.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@001564.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@001594.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@001594.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@001604.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@001604.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@001709.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@001709.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@001945.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@001945.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@002135.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@002135.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@002271.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@002271.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@002441.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@002441.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@002627.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@002627.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@002772.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@002772.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@003293.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@003293.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@003374.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@003374.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@003464.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@003464.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@003519.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@003519.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@003584.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@003584.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@003805.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@003805.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@003845.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@003845.bmp
images\revert_vertical_revert_vertical_OFT_rat01_intact@004015.bmp,masks\revert_vertical_revert_vertical_OFT_rat01_intact@004015.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000049.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000049.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000076.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000076.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000092.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000092.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000129.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000129.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000150.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000150.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000177.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000177.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000189.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000189.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000222.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000222.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000235.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000235.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000256.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000256.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000261.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000261.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000267.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact$000161&03_@000267.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@000145.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@000145.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@000205.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@000205.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@000255.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@000255.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@000320.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@000320.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@000365.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@000365.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@000506.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@000506.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@000621.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@000621.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@000696.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@000696.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@000797.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@000797.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@000867.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@000867.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@000932.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@000932.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@001072.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@001072.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@001273.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@001273.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@001333.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@001333.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@001413.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@001413.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@001579.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@001579.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@001644.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@001644.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@001739.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@001739.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@001900.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@001900.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@001960.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@001960.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@002937.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@002937.bmp
images\revert_vertical_revert_vertical_OFT_rat02_intact@003318.bmp,masks\revert_vertical_revert_vertical_OFT_rat02_intact@003318.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000044.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000044.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000055.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000055.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000064.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000064.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000078.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000078.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000198.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000198.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000255.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000255.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000259.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000259.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000275.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000275.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000290.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000290.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000302.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000302.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000324.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact$000010&03_@000324.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact@000205.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact@000205.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact@000480.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact@000480.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact@000595.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact@000595.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact@000726.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact@000726.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact@000836.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact@000836.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact@000971.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact@000971.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact@001081.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact@001081.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact@001211.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact@001211.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact@001341.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact@001341.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact@001457.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact@001457.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact@001702.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact@001702.bmp
images\revert_vertical_revert_vertical_OFT_rat03_intact@001837.bmp,masks\revert_vertical_revert_vertical_OFT_rat03_intact@001837.bmp
